t,line
4099.4403,MEAS ms=113239 seq=3533 src=1 c9=1117 c10=1500 c11=1012 c12=1500 step=3
4099.4403,MEAS ms=113247 seq=3534 src=1 c9=1117 c10=1500 c11=1012 c12=1500 step=3
4099.4755,MEAS ms=113256 seq=3535 src=1 c9=1117 c10=1500 c11=1012 c12=1500 step=3
4099.4756,MEAS ms=113265 seq=3536 src=1 c9=1117 c10=1500 c11=1012 c12=1500 step=3
4099.4756,MEAS ms=113274 seq=3537 src=1 c9=1117 c10=1500 c11=1012 c12=1500 step=3
4099.4756,MEAS ms=113282 seq=3538 src=1 c9=1117 c10=1500 c11=1012 c12=1500 step=3
4099.5033,MEAS ms=113291 seq=3539 src=1 c9=1117 c10=1500 c11=1012 c12=1500 step=3
4099.5033,MEAS ms=113300 seq=3540 src=1 c9=1117 c10=1500 c11=1012 c12=1500 step=3
4099.5033,MEAS ms=113309 seq=3541 src=1 c9=1117 c10=1500 c11=1012 c12=1500 step=3
4099.6833,MEAS ms=113319 seq=3542 src=1 c9=1117 c10=1500 c11=1012 c12=1500 step=3
4099.6833,MEAS ms=113364 seq=3543 src=1 c9=1117 c10=1500 c11=1012 c12=1500 step=3
4099.6833,MEAS ms=113409 seq=3544 src=1 c9=1117 c10=1500 c11=1012 c12=1500 step=3
4099.6833,MEAS ms=113454 seq=3545 src=1 c9=1117 c10=1500 c11=1012 c12=1500 step=3
4099.8183,MEAS ms=113499 seq=3546 src=1 c9=1117 c10=1499 c11=1012 c12=1500 step=3
4099.8183,MEAS ms=113544 seq=3547 src=1 c9=1117 c10=1500 c11=1012 c12=1500 step=3
4099.8183,MEAS ms=113589 seq=3548 src=1 c9=1117 c10=1500 c11=1012 c12=1500 step=3
4099.9732,MEAS ms=113634 seq=3549 src=1 c9=1117 c10=1500 c11=1012 c12=1500 step=3
4099.9732,MEAS ms=113679 seq=3550 src=1 c9=1117 c10=1500 c11=1012 c12=1500 step=3
4099.9733,MEAS ms=113724 seq=3551 src=1 c9=1117 c10=1500 c11=1012 c12=1500 step=3
